餐厅,楼层,窗口,名称
南区,一楼,0号,西侧咖喱饭
南区,一楼,1号,金汤肥牛川香冒菜
南区,一楼,2号,藤椒鱼米饭
南区,一楼,3号,台湾卤肉饭
南区,一楼,4号,老友粉
南区,一楼,5号,盖浇面
南区,一楼,6号,烧鸭饭 叉烧肉饭
南区,一楼,7号,水饺小笼包 刀削面
南区,一楼,8号,馋嘴砂锅
南区,一楼,9号,三汁焖锅
南区,一楼,10号,鸡扒饭 鸡公煲
南区,一楼,11号,主食花样
南区,一楼,12号,济宁甏肉
南区,一楼,13号,养生粥
南区,一楼,14号,酱炸
南区,一楼,15号,南方菜
南区,一楼,16号,川菜
南区,一楼,17号,地方菜
南区,一楼,18号,精品菜
南区,一楼,19号,五元菜
南区,一楼,20号,凉菜
南区,一楼,21号,一二元菜
南区,一楼,南侧,黄焖鸡米饭  
南区,一楼,南侧,麻辣烫
南区,一楼,南侧,牛肉板面
南区,二楼,1号,自选水饺 混沌汤圆
南区,二楼,2号,巴西烤肉饭  
南区,二楼,3号,茶香鸡米饭
南区,二楼,4号,特色蒸包 主食花样
南区,二楼,5号,河南烩面 鲁西南羊肉汤
南区,二楼,6号,潼关肉夹馍 武汉热干面  
南区,二楼,7号,素食主义  
南区,二楼,8号,酱炸海鲜
南区,二楼,9号,家乡味道  
南区,二楼,10号,鲁菜
南区,二楼,11号,湘菜
南区,二楼,12号,特色盖浇饭 
南区,二楼,13号,韩式石锅饭
南区,二楼,西侧,民族厅
南区,二楼,南侧,蜀香烤鱼饭  
南区,二楼,南侧,韩式无骨炸鸡
南区,二楼,南侧,麻辣香锅
南区,二楼,南侧,臊子面
南区,二楼,中部,重庆小面  
南区,二楼,中部,米线
南区,二楼,中部,花甲粉
南区,三楼,1号,拌粉拌面
南区,三楼,2号,特色面条  
南区,三楼,3号,手工水饺  
南区,三楼,4号,剁椒盖饭 排骨米饭
南区,三楼,5号,里脊肉饼
南区,三楼,0号,自助餐
南区,三楼,0号,烧烤
北区,一楼,1号,麻辣烫